date,SO2_Avg,CO_Avg,O3_Avg,NO2_Avg,PM10_Avg,PM25_Avg,Temperature_Avg,Temperature_range,Precipitation,Humidity_Avg
2009-07-27,0.0037448080629895906,0.3700600281591172,0.024643141155373402,0.015284270146624897,30.26289381303795,NA,23.1,7.800000000000001,1.8,77
2009-07-28,0.0034388810552224386,0.3701344670431057,0.018468499605379426,0.015368783457002908,28.17639093025942,NA,22,5.199999999999999,13,82
2009-07-29,0.0031083403732942824,0.33113104181844144,0.025089440105398417,0.013298729715657048,21.379042644760545,NA,23.4,8.5,10.4,78
2009-07-30,0.003804139881172479,0.3683900028941391,0.027522390192393602,0.015790803823510315,32.94641212565079,NA,24.3,9.2,0.1,76
2009-07-31,0.0036884708240350716,0.3801310378440007,0.02788498824747125,0.01669245082281322,34.38733271534664,NA,24,7.600000000000001,0.5,76
2009-08-01,0.003687363799978851,0.378719946250057,0.02582115365106687,0.015275631973678103,36.09481253772792,NA,24,8.299999999999997,1.3,77
2009-08-02,0.0033781014724072775,0.35333150878004405,0.029067133031296613,0.012000901791500446,33.74405543655721,NA,24,8,0,76
2009-08-03,0.003219086747034256,0.35437881309553443,0.01896238170033396,0.014485806295925802,30.572588411267972,NA,22.7,5.800000000000001,0.5,78
2009-08-04,0.0031078812311603624,0.3376319654207342,0.023467806454757687,0.013784778598454154,28.216544257040628,NA,23.9,10.5,0,73
2009-08-05,0.0030894711580005266,0.31399013529901865,0.0270259155674049,0.01319566964066615,25.341172698466526,NA,24.7,9.200000000000003,0,69
2009-08-06,0.0029552947962998735,0.3036121309475477,0.021115838703006748,0.012298983192906456,21.845745696508487,NA,23.8,6.299999999999997,5.9,78
2009-08-07,0.002894383007566808,0.3666133349849943,0.011755909317596765,0.013850268290903809,20.652576663568997,NA,24.1,5.300000000000001,15.3,87
2009-08-08,0.0031062110552998847,0.354746231592559,0.014681384768895514,0.011897086801248765,22.386424635491846,NA,25.4,6.900000000000002,2,82
2009-08-09,0.0027921247660904398,0.3102388510236316,0.018517963494627154,0.008905682626311296,19.87146198300948,NA,25.8,7.199999999999999,0.6,75
2009-08-10,0.002683045331021852,0.29979859496915234,0.017129155948647556,0.01035413796390855,18.456308742409057,NA,25.6,6.899999999999999,0.2,74
2009-08-11,0.002855504652084738,0.34399142981280184,0.009206149970998397,0.011989307133219313,16.891095141435816,NA,24.4,3.6999999999999993,35.9,87
2009-08-12,0.002706718006145401,0.3888456026749573,0.014643697595313539,0.012891196716674158,22.30886585373535,NA,25,4.399999999999999,44.3,90
2009-08-13,0.004063187728952487,0.5020622638683099,0.02313473418137088,0.015024786022873104,35.35873278090064,NA,25.4,8.2,3.8,82
2009-08-14,0.004622555644555769,0.7380141319847516,0.03572356549839972,0.020909114424059162,76.62735375271657,NA,25.7,9.5,0,78
2009-08-15,0.00451455982209233,0.5982530724666602,0.03565525093700349,0.020135275381398476,62.906879827559194,NA,25.8,11.5,0,74
2009-08-16,0.003263235896825967,0.46501207266540967,0.03269429888816977,0.014063750934661374,42.22991202777959,NA,25.4,9.599999999999998,0,73
2009-08-17,0.0031307553706540624,0.3756395960650114,0.02461271441974097,0.014773599828943055,35.49203960750625,NA,25.3,6.299999999999997,0.5,77
2009-08-18,0.004045409748802153,0.40430518821327954,0.025564873621140006,0.016509710692573076,44.87016123881971,NA,26.2,8,0.1,78
2009-08-19,0.00424631367032506,0.4199663166304431,0.022478674992613783,0.01791595489755868,50.47577955964886,NA,27.1,9,0.1,77
2009-08-20,0.0035206226862536513,0.38970084748080835,0.019848280925575657,0.012850677484947653,39.793046011523515,NA,26.6,7.100000000000001,15.7,79
2009-08-21,0.004033466184308526,0.422317553554228,0.030161978619588373,0.019197173849676893,39.03171394716535,NA,25.6,10.599999999999998,1.9,68
2009-08-22,0.004528092751184593,0.4373477777777778,0.03446967316017316,0.020037708084572434,41.18497085157323,NA,24.7,11.2,0,62
2009-08-23,0.004175169539538729,0.4350041452233067,0.03844985393374741,0.015538946114561766,40.917122836107964,NA,24.6,10.900000000000002,0.3,61
2009-08-24,0.00368635187715666,0.4015329623795985,0.03263551592617908,0.016699060734911814,39.99653152974663,NA,23.5,11.600000000000001,0,69
2009-08-25,0.003967477368057826,0.3680025014116318,0.029054289186900055,0.016170380344019908,36.859170163179925,NA,23.6,9.2,0.2,72
2009-08-26,0.004037744657354378,0.3929352440330546,0.027626622565178904,0.01743121999484906,40.87928863906661,NA,24.2,9.5,1.6,74
2009-08-27,0.0033450774869790774,0.38739374396628423,0.028881208792758222,0.014900275564476205,30.944015377472887,NA,24.1,6.199999999999999,13.9,84
2009-08-28,0.0036307285769177655,0.46406636668737256,0.03214939552877388,0.0163184496930956,36.97956392366706,NA,25,10.900000000000002,2.2,71
2009-08-29,0.0031635920057470433,0.35824125439680315,0.026152534005654624,0.013891047075841777,34.45428721532091,NA,21.9,10.100000000000001,0.4,71
2009-08-30,0.0027508919611164626,0.29902147962991016,0.022316043403312034,0.010711242707509882,23.74626297534963,NA,20.6,4.900000000000002,3.4,76
2009-08-31,0.002884216194759763,0.3119336456914782,0.02326504290419725,0.01417170618931367,23.408949148001756,NA,21.2,9.399999999999999,0.2,71
2009-09-01,0.003033867540983866,0.32476903736106255,0.025635245034683302,0.01627018240667672,24.721002267905714,NA,21.4,12.000000000000002,0,66
2009-09-02,0.002899392580644629,0.3188106218693224,0.028112878212699168,0.015797883574280483,23.544649640808288,NA,21.5,11.400000000000002,0,67
2009-09-03,0.0033238873123847693,0.3555917996258387,0.025468950361244417,0.017804171385871873,26.643051072407996,NA,21.6,11.899999999999999,0,72
2009-09-04,0.0034948497402203698,0.3827989814164785,0.0253156014973419,0.01891054319805798,32.00709730776349,NA,22.7,10.5,0,74
2009-09-05,0.003704880810904072,0.4105885468021052,0.03074020604795703,0.019064440808339893,35.711336042680806,NA,23.5,10.299999999999997,0,73
2009-09-06,0.0039366020300421675,0.436818207231853,0.03473549970644129,0.01712327644174666,40.048761318967564,NA,24.1,11.900000000000002,0,72
