성별,연령별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Female,60 - 64세,1013969,1030288,1023359,1017483,1003285,1012370,1038323,1081239,1128921,1176122,1213715,1247802,1297261,1404900,1528218,1615386,1721804,1841659,1936038,2064581,2109306,2161836,2136080,2105534,2044042,2046142,2038025,2128928,2153799,2202356,2233384,2249411,2213673,2169661
Female,65 - 69세,851230,880881,909221,925569,946202,981983,1011081,1008828,1007312,982408,991450,1006436,1047495,1095999,1150604,1187813,1225188,1272289,1380473,1502135,1590353,1696969,1816402,1911117,2039325,2084619,2137558,2113052,2083994,2024446,2027375,2020376,2111144,2136669
Female,70 - 74세,626942,655781,683079,720174,760361,790845,821775,854731,875369,897257,940767,979241,980699,983369,948477,956466,969862,1011110,1061140,1115795,1153533,1191067,1238089,1344969,1464369,1551623,1656714,1774266,1868477,1995215,2040511,2093400,2070207,2043117
Female,75 - 79세,421671,437251,461135,486198,510663,543047,571925,600927,638739,679260,712482,743323,779558,804154,826652,873516,915752,916514,917714,886458,897224,912580,952975,1001561,1052657,1090270,1127589,1173767,1277765,1392171,1476979,1578508,1691687,1784417
Female,80세이상,392855,416895,442787,468030,495246,526381,561244,605917,650856,691867,740314,790154,845801,908998,979079,1046208,1111785,1184652,1253444,1319878,1406659,1485845,1533932,1578602,1591723,1662218,1730149,1792943,1860583,1902185,1985024,2065585,2149831,2292292
Female,80 - 84세,239537,256483,275992,291845,304066,319301,334776,360838,387547,410686,438974,465166,491882,526920,567927,601756,632408,667643,691858,713730,757438,795799,797438,799400,771987,785678,803433,841479,886581,930594,967223,1003343,1047072,1144488
Female,85 - 89세,112397,117576,121489,126959,136974,147286,162581,176849,188964,198879,210619,221824,244965,267549,287025,309209,330914,353519,383163,414624,441034,464548,492177,512045,530188,565891,596594,598326,600385,578834,595244,614541,646568,683718
Female,90 - 94세,33200,34693,36684,39771,44238,49046,52553,55767,60109,66212,72887,84211,88979,92698,99590,107174,115467,130257,143803,154441,167436,180166,193794,211656,229935,245464,259193,275908,288480,300079,322997,341973,342702,343959
Female,95 - 99세,6612,6979,7413,8105,8506,9174,9633,10622,12251,14049,15652,16689,17537,19133,21534,24744,29581,29749,30869,33031,36125,39741,45027,49792,53440,58293,63147,68460,75459,82299,88137,93237,99813,104911
Female,100세 이상,1109,1164,1209,1350,1462,1574,1701,1841,1985,2041,2182,2264,2438,2698,3003,3325,3415,3484,3751,4052,4626,5591,5496,5709,6173,6892,7782,8770,9678,10379,11423,12491,13676,15216
